,command,orig,intent,entity
141,отправляйся налево,уплыви правее,move_ship_by_direction,ship_direction
142,я иду направо,я иду кораблем вправо,move_ship_by_direction,ship_direction
143,сверху корабль передвиньте,подвинь корабль сверху,move_ship_by_direction,ship_direction
144,я двигаюсь справа от корабля,двигаюсь кораблем справа,move_ship_by_direction,ship_direction
145,мы поплывем правее,мы поплывем правее,move_ship_by_direction,ship_direction
146,вниз иду кораблем я,я иду кораблем вниз,move_ship_by_direction,ship_direction
147,иду я кораблем правее,я иду кораблем правее,move_ship_by_direction,ship_direction
148,вправо уплывите,уплыви вправо,move_ship_by_direction,ship_direction
149,право вперед,право вперед,move_ship_by_direction,ship_direction
150,плыви выше,уплыви выше,move_ship_by_direction,ship_direction
151,подвинь корабль сверху,подвинь корабль сверху,move_ship_by_direction,ship_direction
152,я сверху иду,плыву сверху,move_ship_by_direction,ship_direction
153,вниз иду я,плыву вниз,move_ship_by_direction,ship_direction
154,вперед корабль,кораблем вперед,move_ship_by_direction,ship_direction
155,сверни давай налево,врубай мотор идем на справа,move_ship_by_direction,ship_direction
156,снизу корабль,кораблем снизу,move_ship_by_direction,ship_direction
157,плывте налево и направо,плыви влево,move_ship_by_direction,ship_direction
158,на судне,кораблем наверх,move_ship_by_direction,ship_direction
159,направо двигаюсь на корабле я,двигаюсь кораблем направо,move_ship_by_direction,ship_direction
160,слева пляж,плыви левее,move_ship_by_direction,ship_direction
161,я иду кораблем снизу,я иду кораблем снизу,move_ship_by_direction,ship_direction
162,направо отправляюсь,отчаливаю правее,move_ship_by_direction,ship_direction
163,корабль дальше в клетку,корабль на клетку вперед,move_ship_by_direction,ship_direction
164,наверх кораблем,кораблем наверх,move_ship_by_direction,ship_direction
165,я пойду налево,я иду кораблем левее,move_ship_by_direction,ship_direction
166,внизу слева,право ниже,move_ship_by_direction,ship_direction
167,плывте направо и налево,уплыви влево,move_ship_by_direction,ship_direction
168,мы пойдем выше,мы поплывем выше,move_ship_by_direction,ship_direction
169,плыви вниз,плыви вниз,move_ship_by_direction,ship_direction
170,корабль вперед,кораблем вперед,move_ship_by_direction,ship_direction
171,иду я выше,плыву выше,move_ship_by_direction,ship_direction
172,я иду кораблем вперед,я иду кораблем вперед,move_ship_by_direction,ship_direction
173,я дальше двигаюсь на корабле,двигаюсь кораблем вперед,move_ship_by_direction,ship_direction
174,налево я плыву,плыву левее,move_ship_by_direction,ship_direction
175,врубай мотор идем на снизу,врубай мотор идем на снизу,move_ship_by_direction,ship_direction
176,наверх корабль подвинь,подвинь корабль наверх,move_ship_by_direction,ship_direction
177,правда направо,право направо,move_ship_by_direction,ship_direction
178,корабль направо,корабль на клетку влево,move_ship_by_direction,ship_direction
179,поплывем мы дальше,мы поплывем вперед,move_ship_by_direction,ship_direction
180,пойдем мы ниже,мы поплывем ниже,move_ship_by_direction,ship_direction
181,врубай на вверх идем мотор,врубай мотор идем на вверх,move_ship_by_direction,ship_direction
182,двигаюсь я налево,двигаюсь кораблем левее,move_ship_by_direction,ship_direction
183,поднимается корабль,корабль на клетку вперед,move_ship_by_direction,ship_direction
184,справа уплывите,уплыви справа,move_ship_by_direction,ship_direction
185,я влево двигаюсь на корабле,двигаюсь кораблем влево,move_ship_by_direction,ship_direction
186,в правую корабль поведи сторону,подвинь корабль вправо,move_ship_by_direction,ship_direction
187,передвиньте корабль влево,подвинь корабль налево,move_ship_by_direction,ship_direction
188,справа корабль,судно правее,move_ship_by_direction,ship_direction
189,слева судно,судно слева,move_ship_by_direction,ship_direction
190,заводите наверх поднимайтесь мотор,врубай мотор идем на наверх,move_ship_by_direction,ship_direction
191,на лодке по правому борту,на лодке направо,move_ship_by_direction,ship_direction
192,я иду наверх,плыву наверх,move_ship_by_direction,ship_direction
193,я был в отчаянии,отчаливаю вниз,move_ship_by_direction,ship_direction
194,выше уплыви,уплыви выше,move_ship_by_direction,ship_direction
195,правее отчаливаю,отчаливаю правее,move_ship_by_direction,ship_direction
196,я на корабле наверх пойду,я иду кораблем вверх,move_ship_by_direction,ship_direction
197,я на корабле вниз иду,я иду кораблем ниже,move_ship_by_direction,ship_direction
198,я вправо кораблем иду,я иду кораблем вправо,move_ship_by_direction,ship_direction
199,отправляюсь направо,отчаливаю справа,move_ship_by_direction,ship_direction
200,правде уплыви,уплыви правее,move_ship_by_direction,ship_direction
201,вверх двигаюсь на корабле я,двигаюсь кораблем вверх,move_ship_by_direction,ship_direction
202,я возвращаюсь на корабль,я иду кораблем назад,move_ship_by_direction,ship_direction
203,корабль внизу,судно сверху,move_ship_by_direction,ship_direction
204,мы пойдем вправо,мы поплывем вправо,move_ship_by_direction,ship_direction
205,вверх вправо,право наверх,move_ship_by_direction,ship_direction
206,отплыть слева,уплыви слева,move_ship_by_direction,ship_direction
207,выше поднимаюсь,отчаливаю выше,move_ship_by_direction,ship_direction
208,посадка на корабль направо,подвинь корабль вправо,move_ship_by_direction,ship_direction
209,корабля выше шаг,шаг выше кораблем,move_ship_by_direction,ship_direction
210,к кораблю вернулся я,я иду кораблем назад,move_ship_by_direction,ship_direction
211,корабль по клетке,корабль на клетку ниже,move_ship_by_direction,ship_direction
212,давай налево идем давай,врубай мотор идем на налево,move_ship_by_direction,ship_direction
213,корабль левее корабля,кораблем левее,move_ship_by_direction,ship_direction
214,я иду вправо,плыву вправо,move_ship_by_direction,ship_direction
215,справа двигатель заводи,врубай мотор идем на справа,move_ship_by_direction,ship_direction
216,по кораблю поплывем,кораблем вперед,move_ship_by_direction,ship_direction
217,по клетке корабль,корабль на клетку ниже,move_ship_by_direction,ship_direction
218,врубай мотор на наверх идем,врубай мотор идем на наверх,move_ship_by_direction,ship_direction
219,я борту по левому двигаюсь корабля,двигаюсь кораблем левее,move_ship_by_direction,ship_direction
220,пляж внизу,плыви снизу,move_ship_by_direction,ship_direction
221,отчаливаю наверх,отчаливаю наверх,move_ship_by_direction,ship_direction
222,находится корабль внизу,кораблем ниже,move_ship_by_direction,ship_direction
223,налево корабль поверните,подвинь корабль вправо,move_ship_by_direction,ship_direction
224,давай налево,врубай мотор идем на влево,move_ship_by_direction,ship_direction
225,поплывем мы направо,мы поплывем вправо,move_ship_by_direction,ship_direction
226,отплывайте,уплыви снизу,move_ship_by_direction,ship_direction
227,корабль налево,корабль на клетку справа,move_ship_by_direction,ship_direction
228,двигаюсь вправо кораблем,двигаюсь кораблем вправо,move_ship_by_direction,ship_direction
229,плыву налево,плыву вправо,move_ship_by_direction,ship_direction
230,сверху иду я,плыву сверху,move_ship_by_direction,ship_direction
231,уплыви выше,уплыви выше,move_ship_by_direction,ship_direction
232,налево уплывите,уплыви налево,move_ship_by_direction,ship_direction
233,справа от корабля,шаг справа кораблем,move_ship_by_direction,ship_direction
234,корабля снизу шаг,шаг снизу кораблем,move_ship_by_direction,ship_direction
235,шаг вправо кораблем,шаг вправо кораблем,move_ship_by_direction,ship_direction
236,ещ пожалуйста слыши раз,плыви вперед,move_ship_by_direction,ship_direction
237,мы пойдем направо,мы поплывем направо,move_ship_by_direction,ship_direction
238,налево корабль,корабль на клетку влево,move_ship_by_direction,ship_direction
239,справа слева,право слева,move_ship_by_direction,ship_direction
240,мы вниз пойдем,мы поплывем вниз,move_ship_by_direction,ship_direction
241,налево кораблем,кораблем налево,move_ship_by_direction,ship_direction
242,на лодке внизу выше,на лодке выше,move_ship_by_direction,ship_direction
243,уходи назад,уплыви назад,move_ship_by_direction,ship_direction
244,шаг направо к кораблю,шаг направо кораблем,move_ship_by_direction,ship_direction
245,плыву я слева на корабле,я иду кораблем слева,move_ship_by_direction,ship_direction
246,врубай мотор на вперед идем,врубай мотор идем на вперед,move_ship_by_direction,ship_direction
247,на корабле собираюсь спуститься я,я иду кораблем вниз,move_ship_by_direction,ship_direction
248,мы поплыв м налево направо,мы поплывем справа,move_ship_by_direction,ship_direction
249,я двигаюсь корабле на левом,двигаюсь кораблем слева,move_ship_by_direction,ship_direction
250,слева плыву я,плыву слева,move_ship_by_direction,ship_direction
251,я двигаюсь вниз на корабле,двигаюсь кораблем ниже,move_ship_by_direction,ship_direction
252,врубай мотор на влево идем,врубай мотор идем на влево,move_ship_by_direction,ship_direction
253,борту по правому,судно направо,move_ship_by_direction,ship_direction
254,сверху на лодке,на лодке сверху,move_ship_by_direction,ship_direction
255,я на корабле иду справа,я иду кораблем справа,move_ship_by_direction,ship_direction
256,я корабля на левом берегу двигаюсь,двигаюсь кораблем левее,move_ship_by_direction,ship_direction
257,поднимаюсь выше,отчаливаю выше,move_ship_by_direction,ship_direction
258,шаг от корабля назад,шаг слева кораблем,move_ship_by_direction,ship_direction
259,влево корабль,кораблем влево,move_ship_by_direction,ship_direction
260,и налево плывте направо,уплыви левее,move_ship_by_direction,ship_direction
261,корабль вниз идет,судно вниз,move_ship_by_direction,ship_direction
262,сверху кораблем,кораблем сверху,move_ship_by_direction,ship_direction
263,давай дальше пойдем,врубай мотор идем на вперед,move_ship_by_direction,ship_direction
264,корабль идет вниз,судно вниз,move_ship_by_direction,ship_direction
265,наверху пляж,плыви сверху,move_ship_by_direction,ship_direction
266,помоги кораблю наверх,подвинь корабль наверх,move_ship_by_direction,ship_direction
267,шаг от корабля справа,шаг справа кораблем,move_ship_by_direction,ship_direction
268,давай пойдем вниз,врубай мотор идем на ниже,move_ship_by_direction,ship_direction
269,направо двигатель заводи,врубай мотор идем на вправо,move_ship_by_direction,ship_direction
270,я плыву на корабле выше,я иду кораблем выше,move_ship_by_direction,ship_direction
271,налево давай,врубай мотор идем на вправо,move_ship_by_direction,ship_direction
272,сверху будем плавать мы,мы поплывем сверху,move_ship_by_direction,ship_direction
273,мы пойдем сверху,мы поплывем сверху,move_ship_by_direction,ship_direction
274,вперед иду я кораблем,я иду кораблем вперед,move_ship_by_direction,ship_direction
275,передвиньте корабль сверху,подвинь корабль сверху,move_ship_by_direction,ship_direction
276,слева отплывайте,уплыви слева,move_ship_by_direction,ship_direction
277,шаг м над корабл,шаг сверху кораблем,move_ship_by_direction,ship_direction
278,снизу уплыви,уплыви снизу,move_ship_by_direction,ship_direction
279,от нее иду справа я,плыву справа,move_ship_by_direction,ship_direction
280,на левый отправляйтесь борт,подвинь корабль левее,move_ship_by_direction,ship_direction
281,вперед поплывем мы,мы поплывем вперед,move_ship_by_direction,ship_direction
282,отчаялся я влево,отчаливаю влево,move_ship_by_direction,ship_direction
283,я пойду влево на корабль,я иду кораблем налево,move_ship_by_direction,ship_direction
284,снизу поплывем мы,мы поплывем снизу,move_ship_by_direction,ship_direction
285,корабль в клетку,корабль на клетку ниже,move_ship_by_direction,ship_direction
286,на дне корабль камеры,корабль на клетку снизу,move_ship_by_direction,ship_direction
287,дальше плыви,уплыви вперед,move_ship_by_direction,ship_direction
288,стороны выхожу с левой я,отчаливаю слева,move_ship_by_direction,ship_direction
289,корабль на левом борту,судно влево,move_ship_by_direction,ship_direction
290,снизу шаг кораблем,шаг снизу кораблем,move_ship_by_direction,ship_direction
291,я иду налево,плыву левее,move_ship_by_direction,ship_direction
292,я двигаюсь наверх кораблем,двигаюсь кораблем наверх,move_ship_by_direction,ship_direction
293,я плыву справа,плыву справа,move_ship_by_direction,ship_direction
294,мы поплывем налево,мы поплывем слева,move_ship_by_direction,ship_direction
295,двигаюсь кораблем вправо,двигаюсь кораблем вправо,move_ship_by_direction,ship_direction
296,на лодке сверху,на лодке снизу,move_ship_by_direction,ship_direction
297,на лодке идем вперед,на лодке вперед,move_ship_by_direction,ship_direction
298,мы пойдем вверх,мы поплывем вверх,move_ship_by_direction,ship_direction
299,справа краю по левому,право налево,move_ship_by_direction,ship_direction
300,судно справа,судно справа,move_ship_by_direction,ship_direction
301,правее право,право правее,move_ship_by_direction,ship_direction
302,наверх мотор поднимайся заводи,врубай мотор идем на сверху,move_ship_by_direction,ship_direction
303,я от нее справа иду,плыву справа,move_ship_by_direction,ship_direction
304,налево на лодке направо,на лодке направо,move_ship_by_direction,ship_direction
305,я выше опускаюсь,отчаливаю ниже,move_ship_by_direction,ship_direction
306,я отчаялся сверху,отчаливаю сверху,move_ship_by_direction,ship_direction
307,я поднимусь наверх на корабле,я иду кораблем наверх,move_ship_by_direction,ship_direction
308,я направо на корабле поплыву,я иду кораблем направо,move_ship_by_direction,ship_direction
309,двигаюсь я вниз,двигаюсь кораблем снизу,move_ship_by_direction,ship_direction
310,пляж направо,плыви вправо,move_ship_by_direction,ship_direction
311,плыви направо,плыви направо,move_ship_by_direction,ship_direction
312,раз ещ пожалуйста слыши,плыви вперед,move_ship_by_direction,ship_direction
313,наверх пойдем давай,врубай мотор идем на вниз,move_ship_by_direction,ship_direction
314,слева на лодке,на лодке слева,move_ship_by_direction,ship_direction
315,шаг на корабле вверх,шаг вверх кораблем,move_ship_by_direction,ship_direction
316,заводи поверни мотор налево,врубай мотор идем на налево,move_ship_by_direction,ship_direction
317,вверх на лодке,на лодке наверх,move_ship_by_direction,ship_direction
318,правда назад,право назад,move_ship_by_direction,ship_direction
319,на корабле двигаюсь справа я,двигаюсь кораблем справа,move_ship_by_direction,ship_direction
320,направо корабль,корабль на клетку направо,move_ship_by_direction,ship_direction
321,вниз вправо,право вниз,move_ship_by_direction,ship_direction
322,кораблем двигаюсь справа,двигаюсь кораблем справа,move_ship_by_direction,ship_direction
323,поплывем по кораблю,кораблем вперед,move_ship_by_direction,ship_direction
324,на клетку корабль наверх,корабль на клетку наверх,move_ship_by_direction,ship_direction
325,давай давай идем наверх,врубай мотор идем на сверху,move_ship_by_direction,ship_direction
326,наверх отчаялся я,отчаливаю наверх,move_ship_by_direction,ship_direction
327,идет корабль дальше,судно вперед,move_ship_by_direction,ship_direction
328,я на корабле вниз двигаюсь,двигаюсь кораблем ниже,move_ship_by_direction,ship_direction
329,вверх на клетку корабль,корабль на клетку вверх,move_ship_by_direction,ship_direction
330,я наверх иду,отчаливаю наверх,move_ship_by_direction,ship_direction
331,я полечу на корабле налево,я иду кораблем налево,move_ship_by_direction,ship_direction
332,шаг назад от корабля,шаг слева кораблем,move_ship_by_direction,ship_direction
333,корабль на клетке справа,корабль на клетку справа,move_ship_by_direction,ship_direction
334,я двигаюсь на корабле дальше,двигаюсь кораблем вперед,move_ship_by_direction,ship_direction
335,давай наверх поднимемся,врубай мотор идем на вверх,move_ship_by_direction,ship_direction
336,влево шаг кораблем,шаг влево кораблем,move_ship_by_direction,ship_direction
337,корабль поведи выше,подвинь корабль ниже,move_ship_by_direction,ship_direction
338,левее отчаливаю,отчаливаю левее,move_ship_by_direction,ship_direction
339,заводите спускаемся мы мотор,врубай мотор идем на вниз,move_ship_by_direction,ship_direction
340,на корабле двигаюсь я,двигаюсь кораблем сверху,move_ship_by_direction,ship_direction
341,поднимаюсь я ниже,отчаливаю выше,move_ship_by_direction,ship_direction
342,кораблем иду я влево,я иду кораблем влево,move_ship_by_direction,ship_direction
343,я иду сверху кораблем,я иду кораблем сверху,move_ship_by_direction,ship_direction
344,я иду назад кораблем,двигаюсь кораблем назад,move_ship_by_direction,ship_direction
345,перейти направо на корабль,шаг вправо кораблем,move_ship_by_direction,ship_direction
346,шаг кораблем вперед,шаг вперед кораблем,move_ship_by_direction,ship_direction
347,влево отправляюсь,отчаливаю влево,move_ship_by_direction,ship_direction
348,корабль наверх на клетку,корабль на клетку наверх,move_ship_by_direction,ship_direction
349,на борту борта правого,на лодке вправо,move_ship_by_direction,ship_direction
350,левее плядь,плыви левее,move_ship_by_direction,ship_direction
351,вперед шаг от корабля,шаг вперед кораблем,move_ship_by_direction,ship_direction
352,двигатель заведите налево,врубай мотор идем на вправо,move_ship_by_direction,ship_direction
353,уплыви вверх,уплыви вверх,move_ship_by_direction,ship_direction
354,давай давай давай идем вперед,врубай мотор идем на вперед,move_ship_by_direction,ship_direction
355,отплывайте с верха,уплыви сверху,move_ship_by_direction,ship_direction
356,я еду направо,отчаливаю правее,move_ship_by_direction,ship_direction
357,корабль на клетку слева,корабль на клетку слева,move_ship_by_direction,ship_direction
358,снизу двигаюсь я,двигаюсь кораблем снизу,move_ship_by_direction,ship_direction
359,мы поднимемся выше,мы поплывем выше,move_ship_by_direction,ship_direction
360,катере на правом,на лодке вправо,move_ship_by_direction,ship_direction
361,двигаюсь вперед кораблем,двигаюсь кораблем вперед,move_ship_by_direction,ship_direction
362,корабль в клетку обратно назад,корабль на клетку назад,move_ship_by_direction,ship_direction
363,шаг ниже корабля,шаг ниже кораблем,move_ship_by_direction,ship_direction
364,выше кораблем,кораблем выше,move_ship_by_direction,ship_direction
365,выше пляж,плыви выше,move_ship_by_direction,ship_direction
366,снизу шаг корабля,шаг снизу кораблем,move_ship_by_direction,ship_direction
367,я кораблем вправо двигаюсь,двигаюсь кораблем вправо,move_ship_by_direction,ship_direction
368,шаг от корабля вперед,шаг вперед кораблем,move_ship_by_direction,ship_direction
369,вниз шаг кораблем,шаг вниз кораблем,move_ship_by_direction,ship_direction
370,я от корабля налево иду,я иду кораблем левее,move_ship_by_direction,ship_direction
371,корабля левее корабль,кораблем левее,move_ship_by_direction,ship_direction
372,я двигаюсь на корабле,двигаюсь кораблем сверху,move_ship_by_direction,ship_direction
373,я уйду,отчаливаю вперед,move_ship_by_direction,ship_direction
374,направо кораблем двигаюсь,двигаюсь кораблем направо,move_ship_by_direction,ship_direction
375,пойдем мы лучше,мы поплывем правее,move_ship_by_direction,ship_direction
376,плыву я налево,плыву влево,move_ship_by_direction,ship_direction
377,направо отправляйтесь,уплыви справа,move_ship_by_direction,ship_direction
378,вверх плыву,плыву вверх,move_ship_by_direction,ship_direction
379,шаг назад на корабле,шаг влево кораблем,move_ship_by_direction,ship_direction
380,заводи двигатель справа,врубай мотор идем на справа,move_ship_by_direction,ship_direction
381,на шаг выше корабля,шаг выше кораблем,move_ship_by_direction,ship_direction
382,шаг вверх на корабле,шаг вверх кораблем,move_ship_by_direction,ship_direction
383,передвиньте сверху корабль,подвинь корабль сверху,move_ship_by_direction,ship_direction
384,слева иду я кораблем,я иду кораблем слева,move_ship_by_direction,ship_direction
385,влево уплывите,уплыви влево,move_ship_by_direction,ship_direction
386,судно слева,судно слева,move_ship_by_direction,ship_direction
387,по правому на лодке борту,на лодке направо,move_ship_by_direction,ship_direction
388,я двигаюсь направо,двигаюсь кораблем вправо,move_ship_by_direction,ship_direction
389,шаг слева от корабля,шаг слева кораблем,move_ship_by_direction,ship_direction
390,слева я плыву,плыву слева,move_ship_by_direction,ship_direction
391,наверх отправляйтесь,уплыви наверх,move_ship_by_direction,ship_direction
392,кораблем назад шаг,шаг вперед кораблем,move_ship_by_direction,ship_direction
393,корабля шаг верхний,шаг сверху кораблем,move_ship_by_direction,ship_direction
394,мы пойдем налево,мы поплывем влево,move_ship_by_direction,ship_direction
395,я отчаялся ниже,отчаливаю ниже,move_ship_by_direction,ship_direction
396,влево двигаюсь на корабле я,двигаюсь кораблем влево,move_ship_by_direction,ship_direction
397,отчаливаю влево,отчаливаю влево,move_ship_by_direction,ship_direction
398,я корабль движу вверх,двигаюсь кораблем вверх,move_ship_by_direction,ship_direction
399,сверху пойдем мы,мы поплывем сверху,move_ship_by_direction,ship_direction
400,пляж вверх,плыви наверх,move_ship_by_direction,ship_direction
401,мы поплывем слева,мы поплывем слева,move_ship_by_direction,ship_direction
402,на корабль вправо шаг,шаг вправо кораблем,move_ship_by_direction,ship_direction
403,на правом борту,на лодке справа,move_ship_by_direction,ship_direction
404,подвинь корабль вниз,подвинь корабль вниз,move_ship_by_direction,ship_direction
405,корабль ниже,корабль на клетку снизу,move_ship_by_direction,ship_direction
406,корабля выше на шаг,шаг правее кораблем,move_ship_by_direction,ship_direction
407,от корабля справа шаг,шаг справа кораблем,move_ship_by_direction,ship_direction
408,поплывем мы налево,мы поплывем левее,move_ship_by_direction,ship_direction
409,поверните корабль налево,подвинь корабль вправо,move_ship_by_direction,ship_direction
410,сверху плыву,плыву сверху,move_ship_by_direction,ship_direction
411,заводи спускаемся мы мотор вниз,врубай мотор идем на вниз,move_ship_by_direction,ship_direction
412,корабль налево на клетке,корабль на клетку налево,move_ship_by_direction,ship_direction
413,внизу корабль,корабль на клетку сверху,move_ship_by_direction,ship_direction
414,вниз корабль,судно вниз,move_ship_by_direction,ship_direction
415,мы поплывем выше,мы поплывем выше,move_ship_by_direction,ship_direction
416,я кораблем вверх иду,я иду кораблем вверх,move_ship_by_direction,ship_direction
417,я иду выше корабля,я иду кораблем выше,move_ship_by_direction,ship_direction
418,я двигаюсь по левому корабля борту,двигаюсь кораблем левее,move_ship_by_direction,ship_direction
419,я плыву снизу,плыву снизу,move_ship_by_direction,ship_direction
420,я налево иду от корабля,я иду кораблем левее,move_ship_by_direction,ship_direction
421,плыву наверх,плыву наверх,move_ship_by_direction,ship_direction
422,корабль поднять ниже и выше,подвинь корабль выше,move_ship_by_direction,ship_direction
423,шаг кораблем правее,шаг правее кораблем,move_ship_by_direction,ship_direction
424,на лодке налево направо,на лодке направо,move_ship_by_direction,ship_direction
425,плаваю я дальше,плыву вперед,move_ship_by_direction,ship_direction
426,подвиньте корабль выше,подвинь корабль выше,move_ship_by_direction,ship_direction
427,налево иду я,отчаливаю левее,move_ship_by_direction,ship_direction
428,шаг налево кораблем,шаг налево кораблем,move_ship_by_direction,ship_direction
429,давай идем давай наверх,врубай мотор идем на вверх,move_ship_by_direction,ship_direction
430,вернемся мы,мы поплывем назад,move_ship_by_direction,ship_direction
431,я кораблем вниз двигаюсь,двигаюсь кораблем вниз,move_ship_by_direction,ship_direction
432,на корабль шаг,шаг выше кораблем,move_ship_by_direction,ship_direction
433,отчаялся я выше,отчаливаю выше,move_ship_by_direction,ship_direction
434,на корабле,кораблем выше,move_ship_by_direction,ship_direction
435,выше право,право выше,move_ship_by_direction,ship_direction
436,поверни направо корабль,подвинь корабль справа,move_ship_by_direction,ship_direction
437,корабль на клетку вверх,корабль на клетку вверх,move_ship_by_direction,ship_direction
438,врубай мотор идем на направо,врубай мотор идем на направо,move_ship_by_direction,ship_direction
439,отчаливаю вниз,отчаливаю вниз,move_ship_by_direction,ship_direction
440,заводи двигатель влево,врубай мотор идем на левее,move_ship_by_direction,ship_direction
441,корабль передвините наверх,подвинь корабль сверху,move_ship_by_direction,ship_direction
442,уплывите вверх,уплыви вверх,move_ship_by_direction,ship_direction
443,вниз шаг по кораблю,шаг снизу кораблем,move_ship_by_direction,ship_direction
444,это лучший корабль,судно правее,move_ship_by_direction,ship_direction
445,я выше поднимусь,плыву выше,move_ship_by_direction,ship_direction
446,завод двигателя поверни влево,врубай мотор идем на налево,move_ship_by_direction,ship_direction
447,я заплываю наверх,плыву наверх,move_ship_by_direction,ship_direction
448,я на корабле полечу налево,я иду кораблем налево,move_ship_by_direction,ship_direction
449,кораблем ниже,кораблем ниже,move_ship_by_direction,ship_direction
450,сверху судно,судно сверху,move_ship_by_direction,ship_direction
451,я кораблем слева иду,я иду кораблем слева,move_ship_by_direction,ship_direction
452,поведи корабль налево,подвинь корабль направо,move_ship_by_direction,ship_direction
453,на корабле иду я ниже,я иду кораблем ниже,move_ship_by_direction,ship_direction
454,я спускаюсь вниз,плыву вниз,move_ship_by_direction,ship_direction
455,правого на борту борта,на лодке вправо,move_ship_by_direction,ship_direction
456,поведи корабль сторону на левую,подвинь корабль левее,move_ship_by_direction,ship_direction
457,заводи наверх поднимайся мотор,врубай мотор идем на вверх,move_ship_by_direction,ship_direction
458,на корабле ниже,кораблем снизу,move_ship_by_direction,ship_direction
459,ниже пойдем мы,мы поплывем ниже,move_ship_by_direction,ship_direction
460,направо отчаялся я,отчаливаю направо,move_ship_by_direction,ship_direction
461,прямо по курсу,право сверху,move_ship_by_direction,ship_direction
462,влево отчаялся я,отчаливаю влево,move_ship_by_direction,ship_direction
463,врубай идем мотор на снизу,врубай мотор идем на снизу,move_ship_by_direction,ship_direction
464,я вправо отчаялся,отчаливаю вправо,move_ship_by_direction,ship_direction
465,идем мы вперед,мы поплывем вперед,move_ship_by_direction,ship_direction
466,назад плывай,плыви назад,move_ship_by_direction,ship_direction
467,шаг кораблем влево,шаг влево кораблем,move_ship_by_direction,ship_direction
468,плядь вперед,плыви вперед,move_ship_by_direction,ship_direction
469,я отчаялся вправо,отчаливаю вправо,move_ship_by_direction,ship_direction
470,наверх пойду я,плыву вверх,move_ship_by_direction,ship_direction
471,в клетке корабль,корабль на клетку вверх,move_ship_by_direction,ship_direction
472,вниз право,право вниз,move_ship_by_direction,ship_direction
473,направо шаг от корабля,шаг правее кораблем,move_ship_by_direction,ship_direction
474,вверх иду я,отчаливаю вверх,move_ship_by_direction,ship_direction
475,клетки выше корабль,корабль на клетку выше,move_ship_by_direction,ship_direction
476,направо налево на лодке,на лодке направо,move_ship_by_direction,ship_direction
477,врубай мотор на выше идем,врубай мотор идем на выше,move_ship_by_direction,ship_direction
478,корабль поверните налево,подвинь корабль правее,move_ship_by_direction,ship_direction
479,я спускаюсь снизу я плыву,плыву снизу,move_ship_by_direction,ship_direction
480,корабль выше,судно выше,move_ship_by_direction,ship_direction
481,идем давай давай давай налево,врубай мотор идем на влево,move_ship_by_direction,ship_direction
482,пляж назад,плыви назад,move_ship_by_direction,ship_direction
483,заведите в левую двигатель сторону,врубай мотор идем на влево,move_ship_by_direction,ship_direction
484,налево плыви,плыви левее,move_ship_by_direction,ship_direction
485,мы поплывем направо,мы поплывем направо,move_ship_by_direction,ship_direction
486,от корабля слева,кораблем налево,move_ship_by_direction,ship_direction
487,врубай мотор идем на влево,врубай мотор идем на влево,move_ship_by_direction,ship_direction
488,шаг вниз по кораблю,шаг вниз кораблем,move_ship_by_direction,ship_direction
489,на корабле полечу налево я,я иду кораблем налево,move_ship_by_direction,ship_direction
490,корабль в клетку вверх,корабль на клетку вверх,move_ship_by_direction,ship_direction
491,пожалуйста слышите выше,уплыви ниже,move_ship_by_direction,ship_direction
492,пожалуйста слышите ниже,уплыви выше,move_ship_by_direction,ship_direction
493,я двигаюсь выше на корабле,двигаюсь кораблем выше,move_ship_by_direction,ship_direction
494,на корабле плыву я выше,я иду кораблем выше,move_ship_by_direction,ship_direction
495,кораблем иду я справа,я иду кораблем справа,move_ship_by_direction,ship_direction
496,плыву справа,плыву справа,move_ship_by_direction,ship_direction
497,шаг влево на корабле,шаг влево кораблем,move_ship_by_direction,ship_direction
498,от корабля влево шаг,шаг слева кораблем,move_ship_by_direction,ship_direction
499,слева выхожу я,отчаливаю слева,move_ship_by_direction,ship_direction
500,двигаюсь налево кораблем,двигаюсь кораблем налево,move_ship_by_direction,ship_direction
501,на корабле поднимусь я,я иду кораблем вверх,move_ship_by_direction,ship_direction
502,выше корабль подвиньте,подвинь корабль выше,move_ship_by_direction,ship_direction
503,я полечу налево на корабле,я иду кораблем налево,move_ship_by_direction,ship_direction
504,я двигаюсь кораблем налево,двигаюсь кораблем налево,move_ship_by_direction,ship_direction
505,шаг кораблем выше,шаг выше кораблем,move_ship_by_direction,ship_direction
506,я иду на корабле вниз,я иду кораблем ниже,move_ship_by_direction,ship_direction
507,пляж слева,плыви слева,move_ship_by_direction,ship_direction
508,на корабль направо перейти,шаг вправо кораблем,move_ship_by_direction,ship_direction
509,двигаюсь кораблем сверху,двигаюсь кораблем сверху,move_ship_by_direction,ship_direction
510,влево поплывем мы,мы поплывем влево,move_ship_by_direction,ship_direction
511,шаг назад кораблем,шаг назад кораблем,move_ship_by_direction,ship_direction
512,шаг левее корабля,шаг левее кораблем,move_ship_by_direction,ship_direction
513,пожалуйста слыши ещ раз,плыви вперед,move_ship_by_direction,ship_direction
514,я плыву слева на корабле,я иду кораблем слева,move_ship_by_direction,ship_direction
515,шаг налево от корабля,шаг направо кораблем,move_ship_by_direction,ship_direction
516,отчаливаю вверх,отчаливаю вверх,move_ship_by_direction,ship_direction
