,Unnamed: 0,command,orig,intent,entity
15148,15148,яйцеклеток бей пиратка,пиратка яйцы бей,hit_enemy_pirate,none
15150,15150,по лицу пирату врежь,по морде пирату дай,hit_enemy_pirate,none
15152,15152,я пират тебя уничтожу,я уничтожу тебя пират,hit_enemy_pirate,none
15153,15153,врежь пирату по яйцам,давать по яйцам пирата,hit_enemy_pirate,none
15156,15156,уничтожу я пирата,я уничтожу пират тебя,hit_enemy_pirate,none
15157,15157,я тебя побью пиратом,я надеру пиратом задницу тебе,hit_enemy_pirate,none
15159,15159,пираты вы на корабле плывете,пират ты на корабль плывешь,hit_enemy_pirate,none
15161,15161,задницу надеру тебе я,я надеру пират задницу тебе,hit_enemy_pirate,none
15162,15162,врежьте по лицу пирату,пирата по лицу врежьте,hit_enemy_pirate,none
15164,15164,мне нужна крышка для тебя,тебе я пират крышка бью тебя,hit_enemy_pirate,none
15165,15165,нужна мне крышка для тебя,тебе я пират крышка бью тебя,hit_enemy_pirate,none
15166,15166,получи пирата,получи пирата,hit_enemy_pirate,none
15167,15167,уничтожу я пирата,уничтожу пират вас,hit_enemy_pirate,none
15170,15170,тебя побью я пиратом,я пиратом тебе задницу надеру,hit_enemy_pirate,none
15174,15174,я хочу надрать вам задницу,я пиратом тебе задницу надеру,hit_enemy_pirate,none
15175,15175,пирату врежь по лицу,врежьте пирата по лицу,hit_enemy_pirate,none
15176,15176,я пирата посажу по яйцам,пирата я посажу по яйцам,hit_enemy_pirate,none
15177,15177,вы отлетаете на корабль пират,вы отлетаете на корабль пират,hit_enemy_pirate,none
15181,15181,пират я уничтожу тебя,пират тебя я уничтожу,hit_enemy_pirate,none
15184,15184,я надеру вам задницу капитан,я надеру вам задницу капитан,hit_enemy_pirate,none
15185,15185,летите вы на пиратский корабль,вы отлетаете на корабль пират,hit_enemy_pirate,none
15188,15188,я пиратом тебя бью,я бью пират,hit_enemy_pirate,none
15191,15191,я надеру задницу вам,я надеру тебе задницу пират,hit_enemy_pirate,none
15195,15195,выиграй пирата,победите пирата,hit_enemy_pirate,none
15197,15197,на корабле я был когда,был я пока на корабле я ушел,leave_ship,none
15198,15198,убирайтесь с корабля,убирайтесь с лайнера,leave_ship,none
15199,15199,по лестнице пойду я,спускаюсь по трапу,leave_ship,none
15200,15200,я с миром выйду из корабля чтобы тебя узнать,с миром выйду из корабля для того чтобы познакомиться я,leave_ship,none
15204,15204,в то время как к приключению приближается корабль,в то время как к приключениям приближается корабль,leave_ship,none
15205,15205,убирайтесь с корабля,убирайся с корабля,leave_ship,none
15206,15206,я прыгну с лайнера,спрыгиваю с корабля,leave_ship,none
15208,15208,я на корабль ушел когда я была на корабле,пока был я на корабле я ушел,leave_ship,none
15209,15209,он из корабля вышел,он покинул корабль,leave_ship,none
15210,15210,его корабль и покиньте покиньте,покинуть судно,leave_ship,none
15211,15211,покинуть судно,судно покинуть,leave_ship,none
15213,15213,чтобы познакомиться с миром покидаю я корабль,с миром выйду из корабля для того чтобы познакомиться я,leave_ship,none
15216,15216,пока что я был на корабле,была я пока на корабле,leave_ship,none
15217,15217,пока я был ушел я на корабле,пока кораблик я пошел,leave_ship,none
15219,15219,я когда был на корабле,на корабле я была пока,leave_ship,none
15222,15222,покиньте корабль,корабль покинь,leave_ship,none
15225,15225,корабля мир на корабле для исследования я,я мир на корабле чтобы исследовать поплыву,leave_ship,none
15226,15226,я пока была на корабле,кораблик пока я пошел,leave_ship,none
15230,15230,пока я на корабле был,пока я была на корабле я ушла,leave_ship,none
15234,15234,я схожу с самолета для наблюдения за миром,я схожу с лайнера для исследования мира,leave_ship,none
15241,15241,я выйду из корабля для того чтобы с миром познакомиться,схожу с корабля исследовать мир,leave_ship,none
15244,15244,когда на корабле был я,пока на корабле была я я ушла,leave_ship,none
15248,15248,для исследования я поеду на линейный корабль где будет мир,для исследования схожу с лайнера я мира,leave_ship,none
15249,15249,пока на лайнере был я,пока на корабль пошла я,leave_ship,none
15250,15250,я только что сел на корабль,я кораблик пока пошел,leave_ship,none
15251,15251,покинуть судно,покидаю корабль,leave_ship,none
15254,15254,покинуть корабль,судно оставляю,leave_ship,none
15258,15258,по трапу спускаюсь я,по трапу спускаюсь,leave_ship,none
15259,15259,корабль должен покинуть я,я чтобы из корабля для того выйду познакомиться с миром,leave_ship,none
15260,15260,на корабле я был когда,пока был я на корабле я ушел,leave_ship,none
15261,15261,корабль покинь,покинь корабль,leave_ship,none
15262,15262,время в то как корабль приближается к приключениям,пока к приключению приближается корабль,leave_ship,none
15265,15265,убирайся с корабля,с лайнера убирайтесь,leave_ship,none
15268,15268,пока я пошел на корабль,пока пошла я на корабль,leave_ship,none
15270,15270,убирайтесь с корабля и убирайтесь с самолета,с лайнера убирайтесь,leave_ship,none
15272,15272,я ушел на корабль когда я был на корабле,пока я была на корабле я ушла,leave_ship,none
15273,15273,покидаю корабль,покидаю корабль,leave_ship,none
15276,15276,пока я была на корабле,пока на корабль пошла я,leave_ship,none
15279,15279,я вышел из корабля,покинул я корабль,leave_ship,none
15282,15282,корабль покинуть может корабль,судно покинуть,leave_ship,none
15284,15284,корабль я покинул,корабль покинул я,leave_ship,none
15285,15285,познакомиться чтобы с миром я выезжаю из корабля,с миром выйду из корабля для того чтобы познакомиться я,leave_ship,none
15286,15286,я схожу для наблюдения с самолета за миром,я схожу с лайнера для исследования мира,leave_ship,none
15287,15287,корабль я покину,корабль покину я,leave_ship,none
15289,15289,на корабле был я когда я был,пока я на корабле была,leave_ship,none
15291,15291,мы корабль покинуть не можем,с корабля сойти,leave_ship,none
15293,15293,пока я был на лайнере,пока я была на корабле,leave_ship,none
15294,15294,я хочу сойти с самолета,я с лайнера прыгну,leave_ship,none
15295,15295,пока я был на лайнере,пока пошла я на корабль,leave_ship,none
15298,15298,я ухожу с корабля чтобы увидеть мир,я выйду с корабля чтобы исследовать мир,leave_ship,none
15300,15300,покинуть корабль,корабль покидаю,leave_ship,none
15301,15301,на данный момент приключение,приключениям корабль навстречу пока,leave_ship,none
15304,15304,с корабля сойти нельзя,с корабля сойти,leave_ship,none
15305,15305,я с лайнера прыгну,я прыгну с лайнера,leave_ship,none
15310,15310,пока на лайнере был я,пока я была на корабле,leave_ship,none
15312,15312,хочу я пойти с рейса,я с лайнера прыгну,leave_ship,none
15313,15313,приключения как корабль жд т в то время,приключений время как корабль ждет в то,leave_ship,none
15314,15314,корабль покинуть,корабль покинуть,leave_ship,none
15315,15315,я вышел из корабля,я покинул корабль,leave_ship,none
15318,15318,в то время как корабль приближался к приключениям,пока корабль приближается к приключению,leave_ship,none
15319,15319,я иду на корабль для исследования мира,я поплыву исследовать чтобы на корабле мир,leave_ship,none
15320,15320,хочу я сойти с самолета,я с лайнера прыгну,leave_ship,none
15322,15322,он отплыл с корабля,сош с корабля л,leave_ship,none
15325,15325,пока я на корабле была,пока я была на корабле,leave_ship,none
15326,15326,была я когда на корабле я ушла,пока на корабле была я я ушла,leave_ship,none
15328,15328,я с корабля спрыгну,спрыгиваю с корабля,leave_ship,none
15329,15329,корабль я покинул,покинул я корабль,leave_ship,none
15331,15331,корабль должен покинуть корабль,корабль покинуть,leave_ship,none
15336,15336,пока я была на корабле,пока я была на корабле,leave_ship,none
15337,15337,уходим мы,посудину покинуть,leave_ship,none
15339,15339,чтобы познакомиться с миром я выезжаю из корабля,с миром выйду из корабля для того чтобы познакомиться я,leave_ship,none
15340,15340,отойди от моего корабля,покинь посудину,leave_ship,none
15342,15342,я пойду на корабль посмотрю мир,я поплыву на корабле чтобы исследовать мир,leave_ship,none
15344,15344,я для исследования схожу на лайнер,я для исследования с лайнера схожу мира,leave_ship,none
15346,15346,в то время как к приключениям приближается корабль,пока корабль приближается к приключению,leave_ship,none
15348,15348,я ушел я когда на корабль была на корабле,был я пока на корабле я ушел,leave_ship,none
15351,15351,я с корабля спрыгнул,спрыгиваю с корабля,leave_ship,none
15353,15353,пошла я пока на корабль,пока я пошла на корабль,leave_ship,none
15355,15355,я уезжаю,по трапу спускаюсь,leave_ship,none
15356,15356,я был я когда на корабле был,пока я была на корабле,leave_ship,none
15357,15357,я спрыгну с корабля,спрыгиваю с корабля,leave_ship,none
15358,15358,я ухожу с корабля,корабль покину я,leave_ship,none
15359,15359,я поплыву на корабле чтобы исследовать мир,схожу с корабля исследовать мир,leave_ship,none
15360,15360,покиньте корабль,корабль покидаю,leave_ship,none
15363,15363,я с корабля спрыгнул,спрыгнул я с корабля,leave_ship,none
15364,15364,пока был я на лайнере,пока я пошла на корабль,leave_ship,none
15365,15365,пока я пошла на корабль,пока на корабль пошла я,leave_ship,none
15368,15368,корабль покиньте,покинь корабль,leave_ship,none
15370,15370,пока я была я на корабле ушла,пока я была на корабле я ушла,leave_ship,none
15374,15374,я с корабля который я хочу исследовать это мир,я мир с корабля чтобы исследовать выйду,leave_ship,none
15375,15375,я с корабля уплыву чтобы исследовать,я мир с корабля чтобы исследовать выйду,leave_ship,none
15378,15378,я пойду на лестницу,я пойду по лестнице,leave_ship,none
15381,15381,он с корабля отплыл,сош с корабля л,leave_ship,none
15382,15382,корабль уплываю я пока,кораблик пока я пошел,leave_ship,none
15383,15383,когда на корабле был я,на корабле я была пока,leave_ship,none
15385,15385,корабль покинуть,покинуть судно,leave_ship,none
15389,15389,в то время как корабль приближается к приключениям,пока корабль приближается к приключению,leave_ship,none
15393,15393,приближается время когда корабль приближается к приключению,приближается время как корабль в то к приключениям,leave_ship,none
15394,15394,я схожу за миром для наблюдения с самолета,я схожу с лайнера для исследования мира,leave_ship,none
15395,15395,я на корабле для того чтобы поплыть,я мир на корабле чтобы исследовать поплыву,leave_ship,none
15398,15398,я ухожу с корабля,судно оставлю,leave_ship,none
15400,15400,я с лайнера прыгну,с лайнера прыгну я,leave_ship,none
15402,15402,убирайтесь с лайнера,посудину покинь,leave_ship,none
15403,15403,на корабле я была пока я ушла,пока я была на корабле я ушла,leave_ship,none
15404,15404,я был собой когда я был на корабле,пока ушла была на корабле я я,leave_ship,none
15407,15407,он вышел из корабля,он покинул корабль,leave_ship,none
15410,15410,когда я был на корабле,пока на корабле была я я ушла,leave_ship,none
15411,15411,я был на корабле пока,была я пока на корабле,leave_ship,none
15412,15412,я я на корабль когда ушел был на корабле,пока на корабле была я я ушла,leave_ship,none
15413,15413,я с лайнера прыгну,я с лайнера прыгну,leave_ship,none
15414,15414,корабль покиньте,корабль покиньте,leave_ship,none
15416,15416,когда я была на корабле я ушла,была я пока на корабле я ушла,leave_ship,none
15418,15418,я ушел я когда на корабль была на корабле,пока был я на корабле я ушел,leave_ship,none
15419,15419,я по лестнице пойду,я пойду по лестнице,leave_ship,none
15421,15421,из корабля выйду я для того чтобы познакомиться с миром,я выйду из корабля для того чтобы познакомиться с миром,leave_ship,none
15422,15422,был я когда на корабле,пока я была на корабле я ушла,leave_ship,none
15423,15423,пока я на лайнере был,на корабле я была пока,leave_ship,none
15424,15424,когда я на корабле была,пока я на корабле была,leave_ship,none
15428,15428,я выйду с корабля чтобы исследовать мир,я выйду с корабля чтобы исследовать мир,leave_ship,none
15430,15430,когда я была на корабле я ушла,пока на корабле была я я ушла,leave_ship,none
15431,15431,когда на корабле был я я ушел,пока я был на корабле я ушел,leave_ship,none
15435,15435,убирайтесь с самолета и с корабля убирайтесь,с лайнера убирайтесь,leave_ship,none
15437,15437,я я ушла когда был на корабле,пока ушла была на корабле я я,leave_ship,none
15439,15439,покинуть корабль,покиньте корабль,leave_ship,none
15440,15440,должен корабль покинуть судно,корабль покинуть,leave_ship,none
15441,15441,я по лестнице пойду,по лестнице пойду я,leave_ship,none
15443,15443,с лайнера прыгну я,спрыгиваю с корабля,leave_ship,none
15445,15445,вышел я из корабля,покинул я корабль,leave_ship,none
15448,15448,в то время как к приключениям приближается корабль,в то время как корабль к приключениям приближается,leave_ship,none
15449,15449,на судне был я,была я пока на корабле,leave_ship,none
15453,15453,кораблик я пока пошел,кораблик пока я пошел,leave_ship,none
15454,15454,пока я на корабле была я ушла,пока я была на корабле я ушла,leave_ship,none
15458,15458,пока был я на корабле,пока был я на корабле я ушел,leave_ship,none
15460,15460,с корабля,с корабля л сош,leave_ship,none
15461,15461,я спускаюсь,спускаюсь по трапу,leave_ship,none
15462,15462,корабль должен корабль покинуть,корабль покинуть,leave_ship,none
15463,15463,приближается время когда корабль к приключению приближается,приближается время как корабль в то к приключениям,leave_ship,none
15465,15465,убери это,посудину покинь,leave_ship,none
15467,15467,пока я был ушел я на корабле,пока я был на корабле я ушел,leave_ship,none
15468,15468,покиньте корабль и покиньте его,покинуть судно,leave_ship,none
15469,15469,приблизившись к приключению к приключению приближался корабль,в то время как корабль к приключениям приближается,leave_ship,none
15471,15471,покинуть корабль и покинуть корабль,покинуть корабль,leave_ship,none
15473,15473,корабль покинь,корабль покинь,leave_ship,none
15474,15474,в то время как корабль приближается к приключениям,в то время как корабль к приключениям приближается,leave_ship,none
15475,15475,пока я на корабле был,пока на корабле была я я ушла,leave_ship,none
15477,15477,когда я ушла я на корабле была,пока ушла была на корабле я я,leave_ship,none
15478,15478,покинуть посудину,покинуть посудину,leave_ship,none
15479,15479,когда к приключению приближается корабль,в то время как корабль к приключениям приближается,leave_ship,none
15481,15481,покинуть корабль,корабль покиньте,leave_ship,none
15483,15483,корабль покинь,покинуть посудину,leave_ship,none
15485,15485,я пойду на корабль чтобы посмотреть на мир,я схожу с лайнера для исследования мира,leave_ship,none
15486,15486,покинул я корабль,корабль покинул я,leave_ship,none
15491,15491,я с лайнера прыгну,я с корабля спрыгну,leave_ship,none
15492,15492,убирайтесь из лайнера,убирайтесь с лайнера,leave_ship,none
15494,15494,покиньте корабль,покиньте корабль,leave_ship,none
15498,15498,с корабля я спрыгну,спрыгну я с корабля,leave_ship,none
15500,15500,пока была я на корабле,пока на корабль пошла я,leave_ship,none
15501,15501,приблизившись к приключению корабль приближался к приключению,в то время как к приключениям приближается корабль,leave_ship,none
15502,15502,я собираюсь на корабль чтобы исследовать мир,я поплыву мир чтобы исследовать на корабле,leave_ship,none
15504,15504,пока был я на корабле я ушел,пока был я на корабле я ушел,leave_ship,none
15505,15505,когда я был на корабле я ушел,был я пока на корабле я ушел,leave_ship,none
15506,15506,корабль покину я,корабль покину я,leave_ship,none
15507,15507,убирайся с корабля,посудину покинь,leave_ship,none
15508,15508,с корабля убирайся,посудину покинь,leave_ship,none
15509,15509,мы не можем покинуть корабль,с корабля сойти,leave_ship,none
15511,15511,корабль время как в то приближается к приключению,в то время как к приключениям приближается корабль,leave_ship,none
15513,15513,в то время как корабль приключений ждет,в то время как корабль ждет приключений,leave_ship,none
15514,15514,была я на корабле,была я пока на корабле,leave_ship,none
15516,15516,пойду я исследовать мир на корабле,я поплыву исследовать чтобы на корабле мир,leave_ship,none
15517,15517,пока я на корабле,пока я пошла на корабль,leave_ship,none
15518,15518,я был на корабле я когда был,пока я на корабле была,leave_ship,none
15519,15519,с корабля спрыгиваю,спрыгиваю с корабля,leave_ship,none
15520,15520,была я на корабле пока я ушла,была я пока на корабле я ушла,leave_ship,none
15523,15523,когда я была на корабле,пока я была на корабле,leave_ship,none
15525,15525,когда я на корабле был,была я пока на корабле я ушла,leave_ship,none
15526,15526,я был на корабле когда я был,пока я была на корабле,leave_ship,none
15527,15527,я ушел на корабль когда я был на корабле,пока на корабле была я я ушла,leave_ship,none
15529,15529,я спускаюсь по трапу,по трапу спускаюсь,leave_ship,none
15532,15532,для того чтобы из корабля я выйду познакомиться с миром,я чтобы из корабля для того выйду познакомиться с миром,leave_ship,none
15533,15533,я прыгну с лайнера,я спрыгну с корабля,leave_ship,none
15534,15534,покиньте корабль,покинь посудину,leave_ship,none
15535,15535,высадимся мы,посудину покинуть,leave_ship,none
15538,15538,убирайся с корабля,л сош с корабля,leave_ship,none
15539,15539,в то время как корабль ждет приключений,пока корабль навстречу приключениям,leave_ship,none
15542,15542,когда я на корабле была,пока я был на корабле я ушел,leave_ship,none
15543,15543,я спускаюсь,по трапу спускаюсь,leave_ship,none
15544,15544,когда я был на корабле,на корабле я была пока,leave_ship,none
15545,15545,когда ушел на корабль я я был на корабле,была я пока на корабле я ушла,leave_ship,none
15546,15546,в то время как в приключениях находится корабль,пока приключениям навстречу корабль,leave_ship,none
15548,15548,покиньте корабль,корабль покиньте,leave_ship,none
15549,15549,пока на корабле была я,пока пошла я на корабль,leave_ship,none
15550,15550,при приближении корабля к приключению,пока к приключению приближается корабль,leave_ship,none
15555,15555,спускаюсь я,по трапу спускаюсь,leave_ship,none
15557,15557,я на корабль пойду чтобы посмотреть на мир,я поплыву на корабле чтобы исследовать мир,leave_ship,none
15559,15559,и я поэтому сел на корабль,на корабль я пошла пока,leave_ship,none
15561,15561,пока корабль приближается к приключению,пока к приключению приближается корабль,leave_ship,none
15562,15562,спускаюсь по трапу,спускаюсь по трапу,leave_ship,none
15564,15564,я с корабля на разведку пойду,я выйду исследовать чтобы с корабля мир,leave_ship,none
15566,15566,корабль покидаю,корабль покидаю,leave_ship,none
15567,15567,корабля от моего отойди,покинь посудину,leave_ship,none
15568,15568,пока была я на корабле,пока я была на корабле,leave_ship,none
15569,15569,покинуть судно,покинуть судно,leave_ship,none
15573,15573,в то время как корабль ждет приключений,в то время как корабль ждет приключений,leave_ship,none
15574,15574,посудину убери,посудину покинь,leave_ship,none
15576,15576,убирайтесь с лайнера,убирайся с корабля,leave_ship,none
15577,15577,я на корабле на корабль когда я был ушел,пока я была на корабле я ушла,leave_ship,none
15578,15578,я был пока на корабле,была я пока на корабле,leave_ship,none
15579,15579,когда я был на корабле я ушел,пока был я на корабле я ушел,leave_ship,none
15581,15581,корабль я пока ухожу,я кораблик пока пошел,leave_ship,none
15584,15584,корабль покиньте,корабль покинь,leave_ship,none
15585,15585,собираюсь я отправиться на корабль для исследования,я для исследования с лайнера схожу мира,leave_ship,none
15586,15586,я с корабля спрыгиваю,с корабля спрыгиваю,leave_ship,none
15587,15587,выйду я из корабля для того чтобы познакомиться с миром,я выйду с корабля чтобы исследовать мир,leave_ship,none
15589,15589,был я пока на корабле,пока на корабле была я я ушла,leave_ship,none
15590,15590,время приключения,время в то как корабль ждет приключений,leave_ship,none
15591,15591,чтобы познакомиться я с миром выезжаю из корабля,с миром выйду из корабля для того чтобы познакомиться я,leave_ship,none
15592,15592,пошла я на корабль пока,на корабль я пошла пока,leave_ship,none
15593,15593,слезай с корабля,с корабля сойти,leave_ship,none
15594,15594,когда был я на корабле,был я пока на корабле я ушел,leave_ship,none
15595,15595,когда корабль к приключениям приближается,в то время как корабль к приключениям приближается,leave_ship,none
15596,15596,корабль должен покинуть судно,корабль покинуть,leave_ship,none
15597,15597,и я пошел на корабль,на корабль я пошла пока,leave_ship,none
15601,15601,в то время как корабль приближается к приключениям,в то время как корабль приближается к приключениям,leave_ship,none
15607,15607,время ждет приключений,приключений время как корабль ждет в то,leave_ship,none
15609,15609,с корабля только что я,с корабля л сош,leave_ship,none
15612,15612,схожу я для исследования на лайнер,я для исследования с лайнера схожу мира,leave_ship,none
15616,15616,судно оставляю,оставляю судно,leave_ship,none
15618,15618,пошел кораблик я пока,пошел кораблик я пока,leave_ship,none
15622,15622,корабль до того как уплыву я,кораблик пока я пошел,leave_ship,none
15623,15623,с самолета убирайтесь и убирайтесь с корабля,с лайнера убирайтесь,leave_ship,none
15624,15624,пока что я на корабле была,на корабле я была пока,leave_ship,none
15626,15626,я ушел я когда на корабль была на корабле,пока я был на корабле я ушел,leave_ship,none
15627,15627,покинуть корабль,покинуть корабль,leave_ship,none
15628,15628,он корабль покинул и покинул его,корабль покинул он,leave_ship,none
15629,15629,когда я на корабле была я ушла,была я пока на корабле я ушла,leave_ship,none
15631,15631,я пойду по лестнице,я пойду по лестнице,leave_ship,none
15632,15632,я пойду исследовать мир на корабле,я поплыву исследовать чтобы на корабле мир,leave_ship,none
15637,15637,пошла пока я на корабль,пока пошла я на корабль,leave_ship,none
15641,15641,ждет время приключений,приключений время как корабль ждет в то,leave_ship,none
15642,15642,с корабля спрыгну я,я прыгну с лайнера,leave_ship,none
15643,15643,когда на корабле был я,пока я была на корабле,leave_ship,none
15647,15647,пошел кораблик пока я,пошел кораблик я пока,leave_ship,none
15648,15648,я с корабля спрыгну,я спрыгну с корабля,leave_ship,none
15650,15650,пошел я и на корабль,на корабль я пошла пока,leave_ship,none
15651,15651,пока на корабле я была,пока я на корабле была,leave_ship,none
15652,15652,от нее избавьтесь,посудину покинуть,leave_ship,none
15657,15657,я пойду по лестнице,по лестнице пойду я,leave_ship,none
15658,15658,на корабле я пока была,была я пока на корабле,leave_ship,none
15660,15660,корабль покинуть,корабль покиньте,leave_ship,none
15661,15661,да пошел ты пока я на корабле,пошел кораблик я пока,leave_ship,none
15663,15663,я выйду с корабля чтобы познакомиться с миром,я выйду из корабля для того чтобы познакомиться с миром,leave_ship,none
15664,15664,я ушел когда на корабль я была на корабле,был я пока на корабле я ушел,leave_ship,none
15665,15665,с корабля убирайся,убирайтесь с лайнера,leave_ship,none
15666,15666,спрыгнула я с лайнера,я спрыгнул с корабля,leave_ship,none
15667,15667,был я когда на корабле,пока на корабле была я я ушла,leave_ship,none
15671,15671,приблизившись приближался корабль к приключению к приключению,в то время как корабль приближается к приключениям,leave_ship,none
15673,15673,убирайся с корабля,убирайся с корабля,leave_ship,none
15674,15674,корабль время как в то приближается к приключениям,пока корабль навстречу приключениям,leave_ship,none
15675,15675,с корабля убирайся,убирайся с корабля,leave_ship,none
15682,15682,с корабля я спрыгну,я с корабля спрыгну,leave_ship,none
15684,15684,когда был я на корабле,была я пока на корабле я ушла,leave_ship,none
15690,15690,я с корабля ухожу,я покину корабль,leave_ship,none
15692,15692,на корабле я была когда,пока я на корабле была,leave_ship,none
15693,15693,я с корабля ухожу,корабль покину я,leave_ship,none
15696,15696,приближается корабль когда время приближается к приключениям,приближается время как корабль в то к приключениям,leave_ship,none
15698,15698,корабль пока я уплываю,кораблик пока я пошел,leave_ship,none
15700,15700,я спрыгнула с лайнера,спрыгнул я с корабля,leave_ship,none
15702,15702,с корабля спрыгну я,с корабля спрыгиваю,leave_ship,none
15704,15704,я выйду из корабля для того чтобы познакомиться с миром,я выйду из корабля для того чтобы познакомиться с миром,leave_ship,none
15705,15705,в то время как находится корабль в приключениях,пока приключениям навстречу корабль,leave_ship,none
15711,15711,когда была я на корабле,пока я была на корабле,leave_ship,none
15715,15715,на лайнере я был пока,пока на корабль пошла я,leave_ship,none
15716,15716,в то время как корабль ждет приключений,пока корабль жд т приключений,leave_ship,none
15717,15717,на корабле езжай,пошел кораблик я пока,leave_ship,none
15719,15719,я была пока на корабле я ушла,была я пока на корабле я ушла,leave_ship,none
15720,15720,иду я на корабль чтобы увидеть мир,я поплыву мир чтобы исследовать на корабле,leave_ship,none
15721,15721,корабль покиньте,корабль покидаю,leave_ship,none
15725,15725,пока я был на корабле,пока пошла я на корабль,leave_ship,none
15730,15730,с корабля спрыгну я,с лайнера прыгну я,leave_ship,none
15732,15732,пока я был на корабле,пока был я на корабле я ушел,leave_ship,none
15733,15733,когда корабль приближается к приключению,в то время как корабль к приключениям приближается,leave_ship,none
15734,15734,в то время как ждет корабль приключений,пока корабль жд т приключений,leave_ship,none
15735,15735,корабль время как в то приближается к приключениям,в то время как к приключениям приближается корабль,leave_ship,none
15738,15738,я посоветуюсь с кораблем,я для исследования с лайнера схожу мира,leave_ship,none
15739,15739,когда я была ушла я на корабле,пока я была на корабле я ушла,leave_ship,none
15740,15740,я выйду из самолета чтобы наблюдать за миром,я схожу с лайнера для исследования мира,leave_ship,none
15744,15744,убирайтесь с лайнера,сойти с корабля,leave_ship,none
15745,15745,корабль покинул я,корабль покинул я,leave_ship,none
15748,15748,убирайтесь с корабля,с лайнера убирайтесь,leave_ship,none
15750,15750,с корабля спрыгну я,я с лайнера прыгну,leave_ship,none
15751,15751,я с самолета схожу для наблюдения за миром,я схожу с лайнера для исследования мира,leave_ship,none
15752,15752,сойти с корабля,с корабля сойти,leave_ship,none
15753,15753,приближается время как корабль к приключениям в то,в то время как корабль к приключениям приближается,leave_ship,none
15754,15754,корабль покинь,покиньте корабль,leave_ship,none
15755,15755,когда я был на корабле,был я пока на корабле я ушел,leave_ship,none
15756,15756,мне с миром познакомиться нужно,я выйду с миром для того чтобы познакомиться из корабля,leave_ship,none
15758,15758,я для того на корабле поплыву чтобы ознакомиться с миром,я поплыву мир чтобы исследовать на корабле,leave_ship,none
15759,15759,был я когда на корабле я ушел,пока был я на корабле я ушел,leave_ship,none
15763,15763,я поплыву на корабле для того чтобы ознакомиться с миром,я поплыву мир чтобы исследовать на корабле,leave_ship,none
15764,15764,я собираюсь на корабль чтобы исследовать мир,с лайнера схожу я для исследования мира,leave_ship,none
15765,15765,оставляю судно,оставляю судно,leave_ship,none
15767,15767,корабль я покину,я корабль покину,leave_ship,none
15769,15769,он ушел с корабля,он покинул корабль,leave_ship,none
15770,15770,приближается время когда корабль приближается к приключениям,приближается время как корабль в то к приключениям,leave_ship,none
15775,15775,времени когда корабль ждет в приключениях,в то приключений как корабль ждет время,leave_ship,none
15776,15776,с лайнера прыгну я,я спрыгну с корабля,leave_ship,none
15779,15779,я была на корабле,была я пока на корабле,leave_ship,none
15781,15781,покинул корабль я,покинул я корабль,leave_ship,none
15782,15782,с корабля выйду я чтобы познакомиться с миром,я выйду из корабля для того чтобы познакомиться с миром,leave_ship,none
15784,15784,когда я был на корабле я ушел,пока я был на корабле я ушел,leave_ship,none
15785,15785,пока я на корабле была,пока кораблик я пошел,leave_ship,none
15786,15786,с миром должен познакомиться я,я выйду с миром для того чтобы познакомиться из корабля,leave_ship,none
15787,15787,корабль покинь,покинь посудину,leave_ship,none
15789,15789,я выйду с корабля чтобы исследовать мир,схожу с корабля исследовать мир,leave_ship,none
15790,15790,кораблик пока я пошел,кораблик пока я пошел,leave_ship,none
15793,15793,корабль покинул я,покинул я корабль,leave_ship,none
15799,15799,пока я была на корабле,пока кораблик я пошел,leave_ship,none
15800,15800,я спрыгнул с корабля,с корабля спрыгнул я,leave_ship,none
15801,15801,покинуть корабль,судно покинуть,leave_ship,none
15804,15804,был пока я на корабле я ушел,был я пока на корабле я ушел,leave_ship,none
15807,15807,когда я был на корабле,пока я была на корабле,leave_ship,none
15808,15808,я собираюсь отправиться на поиски мира с корабля,я выйду исследовать чтобы с корабля мир,leave_ship,none
15809,15809,я с лайнера прыгну,спрыгну я с корабля,leave_ship,none
15811,15811,пойду я по лестнице,спускаюсь по трапу,leave_ship,none
